category,price,original_price,rating,rating_count,scraped_date,size,color,material,discount_percentage,availability,is_bestseller,return_policy,delivery_time,trending,customer_reviews,product_engagement
Men Tshirts,628,857,4.8,3497,2025-08-02,XXL,Green,Cotton Blend,26.72,In Stock,FALSE,30 days,7 days,FALSE,459,39.16774395
Men Tshirts,875,986,4,726,2025-08-02,XL,Grey,Silk,11.26,Only 1 Left,FALSE,30 days,6 days,FALSE,430,26.35570591
Men Tshirts,631,784,4.2,3354,2025-08-02,XL,Grey,Cotton,19.52,Few Left,FALSE,30 days,4 days,FALSE,301,34.09646961
Men Tshirts,694,944,4,4377,2025-08-02,XL,Pink,Denim,26.48,Only 1 Left,TRUE,30 days,4 days,FALSE,222,38.03738911
Men Tshirts,499,568,4.4,4141,2025-08-02,L,Red,Cotton,12.15,Only 1 Left,FALSE,30 days,4 days,FALSE,207,36.64730978
Men Tshirts,577,707,4.6,2587,2025-08-02,XS,Olive,Silk,18.39,Few Left,TRUE,30 days,4 days,FALSE,497,40.64974702
Men Tshirts,426,538,4.3,4069,2025-08-02,M,Yellow,Silk,20.82,Back in Stock,FALSE,30 days,6 days,FALSE,374,35.7390126
Men Tshirts,554,897,4.3,2351,2025-08-02,S,Purple,Silk,38.24,Back in Stock,FALSE,30 days,3 days,TRUE,235,35.88099163
Men Tshirts,588,870,3.6,3904,2025-08-02,L,White,Denim,32.41,Limited Stock,FALSE,30 days,5 days,FALSE,336,29.77204702
Men Tshirts,428,691,4.1,860,2025-08-02,3XL,Brown,Linen,38.06,Few Left,FALSE,30 days,2 days,FALSE,333,27.70818747
Men Tshirts,580,834,4.3,3840,2025-08-02,S,Beige,Cotton Blend,30.46,In Stock,FALSE,30 days,2 days,FALSE,262,35.48999852
Men Tshirts,778,1046,3.7,2480,2025-08-02,XXL,Red,Polyester,25.62,In Stock,FALSE,30 days,5 days,FALSE,109,28.92074284
Men Tshirts,877,1119,4.1,106,2025-08-02,XL,Brown,Cotton Blend,21.63,In Stock,FALSE,30 days,6 days,FALSE,371,19.15859822
Men Tshirts,600,775,4.2,2308,2025-08-02,L,Green,Cotton,22.58,Back in Stock,FALSE,30 days,3 days,FALSE,467,32.5271932
Men Tshirts,582,937,4,982,2025-08-02,XXL,Orange,Polyester,37.89,Back in Stock,FALSE,30 days,7 days,FALSE,462,27.56243648
Men Tshirts,449,683,4.1,3913,2025-08-02,XL,Yellow,Denim,34.26,Only 1 Left,TRUE,30 days,7 days,FALSE,38,38.41649211
Men Jeans,1344,1563,3.8,89,2025-08-02,XS,Grey,Linen,14.01,In Stock,FALSE,30 days,2 days,FALSE,135,17.09927675
Men Jeans,1118,1394,3.6,1582,2025-08-02,3XL,Yellow,Linen,19.8,Limited Stock,TRUE,30 days,2 days,FALSE,204,31.02147742
Men Jeans,1308,1733,3.9,447,2025-08-02,3XL,Black,Denim,24.52,Only 1 Left,FALSE,30 days,7 days,FALSE,10,23.80869361
Men Jeans,1266,1495,4.5,2213,2025-08-02,XL,Green,Polyester,15.32,In Stock,TRUE,30 days,3 days,FALSE,273,39.16150251
Men Jeans,1004,1280,3.7,1120,2025-08-02,XL,Beige,Polyester,21.56,Only 1 Left,FALSE,30 days,2 days,FALSE,358,25.98131277
Men Jeans,1501,1795,4,2084,2025-08-02,L,Navy,Denim,16.38,In Stock,FALSE,30 days,6 days,TRUE,241,33.07009654
Men Jeans,1241,1399,4.3,4616,2025-08-02,L,Purple,Cotton Blend,11.29,Limited Stock,FALSE,30 days,7 days,FALSE,22,36.28125182
Men Jeans,1739,1971,3.8,3959,2025-08-02,S,Orange,Cotton Blend,11.77,Limited Stock,FALSE,30 days,7 days,FALSE,485,31.47919736
Men Jeans,1129,1323,4.1,1063,2025-08-02,M,Navy,Cotton Blend,14.66,Limited Stock,FALSE,30 days,5 days,FALSE,348,28.57614175
