category,Clothing,price,original_price,rating,rating_count,scraped_date,size,color,material,discount_percentage,availability,is_bestseller,return_policy,delivery_time,trending,customer_reviews
Men Tshirts,T-Shirt,628,857,4.8,3497,2025-08-02,XXL,Green,Cotton Blend,26.72,In Stock,FALSE,30 days,7 days,FALSE,459
Men Tshirts,T-Shirt,875,986,4,726,2025-08-02,XL,Grey,Silk,11.26,Only 1 Left,FALSE,30 days,6 days,FALSE,430
Men Tshirts,T-Shirt,631,784,4.2,3354,2025-08-02,XL,Grey,Cotton,19.52,Few Left,FALSE,30 days,4 days,FALSE,301
Men Tshirts,T-Shirt,694,944,4,4377,2025-08-02,XL,Pink,Denim,26.48,Only 1 Left,TRUE,30 days,4 days,FALSE,222
Men Tshirts,T-Shirt,499,568,4.4,4141,2025-08-02,L,Red,Cotton,12.15,Only 1 Left,FALSE,30 days,4 days,FALSE,207
Men Tshirts,T-Shirt,577,707,4.6,2587,2025-08-02,XS,Olive,Silk,18.39,Few Left,TRUE,30 days,4 days,FALSE,497
Men Tshirts,T-Shirt,426,538,4.3,4069,2025-08-02,M,Yellow,Silk,20.82,Back in Stock,FALSE,30 days,6 days,FALSE,374
Men Tshirts,T-Shirt,554,897,4.3,2351,2025-08-02,S,Purple,Silk,38.24,Back in Stock,FALSE,30 days,3 days,TRUE,235
Men Tshirts,T-Shirt,588,870,3.6,3904,2025-08-02,L,White,Denim,32.41,Limited Stock,FALSE,30 days,5 days,FALSE,336
Men Tshirts,T-Shirt,428,691,4.1,860,2025-08-02,3XL,Brown,Linen,38.06,Few Left,FALSE,30 days,2 days,FALSE,333
Men Tshirts,T-Shirt,580,834,4.3,3840,2025-08-02,S,Beige,Cotton Blend,30.46,In Stock,FALSE,30 days,2 days,FALSE,262
Men Tshirts,T-Shirt,778,1046,3.7,2480,2025-08-02,XXL,Red,Polyester,25.62,In Stock,FALSE,30 days,5 days,FALSE,109
Men Tshirts,T-Shirt,877,1119,4.1,106,2025-08-02,XL,Brown,Cotton Blend,21.63,In Stock,FALSE,30 days,6 days,FALSE,371
Men Tshirts,T-Shirt,600,775,4.2,2308,2025-08-02,L,Green,Cotton,22.58,Back in Stock,FALSE,30 days,3 days,FALSE,467
Men Tshirts,T-Shirt,582,937,4,982,2025-08-02,XXL,Orange,Polyester,37.89,Back in Stock,FALSE,30 days,7 days,FALSE,462
Men Tshirts,T-Shirt,449,683,4.1,3913,2025-08-02,XL,Yellow,Denim,34.26,Only 1 Left,TRUE,30 days,7 days,FALSE,38
Men Jeans,Jeans,1344,1563,3.8,89,2025-08-02,XS,Grey,Linen,14.01,In Stock,FALSE,30 days,2 days,FALSE,135
Men Jeans,Jeans,1118,1394,3.6,1582,2025-08-02,3XL,Yellow,Linen,19.8,Limited Stock,TRUE,30 days,2 days,FALSE,204
Men Jeans,Jeans,1308,1733,3.9,447,2025-08-02,3XL,Black,Denim,24.52,Only 1 Left,FALSE,30 days,7 days,FALSE,10
Men Jeans,Jeans,1266,1495,4.5,2213,2025-08-02,XL,Green,Polyester,15.32,In Stock,TRUE,30 days,3 days,FALSE,273
Men Jeans,Jeans,1004,1280,3.7,1120,2025-08-02,XL,Beige,Polyester,21.56,Only 1 Left,FALSE,30 days,2 days,FALSE,358
Men Jeans,Jeans,1501,1795,4,2084,2025-08-02,L,Navy,Denim,16.38,In Stock,FALSE,30 days,6 days,TRUE,241
Men Jeans,Jeans,1241,1399,4.3,4616,2025-08-02,L,Purple,Cotton Blend,11.29,Limited Stock,FALSE,30 days,7 days,FALSE,22
Men Jeans,Jeans,1739,1971,3.8,3959,2025-08-02,S,Orange,Cotton Blend,11.77,Limited Stock,FALSE,30 days,7 days,FALSE,485
Men Jeans,Jeans,1129,1323,4.1,1063,2025-08-02,M,Navy,Cotton Blend,14.66,Limited Stock,FALSE,30 days,5 days,FALSE,348
Men Jeans,Jeans,1888,1926,4,3572,2025-08-02,XS,Maroon,Linen,1.97,Few Left,FALSE,30 days,6 days,FALSE,402
Men Jeans,Jeans,1524,1690,3.6,3524,2025-08-02,XXL,Brown,Linen,9.82,Only 1 Left,FALSE,30 days,7 days,FALSE,419
Men Jeans,Jeans,1689,1697,3.7,143,2025-08-02,M,Beige,Cotton Blend,0.47,Few Left,FALSE,30 days,2 days,FALSE,177
Men Jeans,Jeans,1205,1844,3.6,4419,2025-08-02,XS,Yellow,Silk,34.65,In Stock,FALSE,30 days,2 days,FALSE,0
Men Jeans,Jeans,933,1154,4.6,4798,2025-08-02,XS,Grey,Polyester,19.15,Only 1 Left,FALSE,30 days,7 days,FALSE,55
Men Jeans,Jeans,1294,1311,4.6,783,2025-08-02,3XL,Maroon,Cotton,1.3,Back in Stock,FALSE,30 days,6 days,FALSE,285
Men Jeans,Jeans,983,1144,4.7,3774,2025-08-02,3XL,Pink,Linen,14.07,Few Left,FALSE,30 days,7 days,FALSE,404
